nombre,apellido,edad,colegio,celular,padre_id
Abilio,Angulo,15,Escuela Secundaria 12,1150558971,88
Delia,Cisneros,12,Colegio Belgrano,NULL,62
Chuy,Andres,14,Colegio Belgrano,NULL,86
Ramón,Alba,15,Escuela Técnica Nº5,NULL,90
Florinda,Vila,16,Escuela Técnica Nº5,NULL,9
Miguela,Sebastián,12,Colegio Nacional,NULL,9
Miguel Ángel,Pedrosa,14,Colegio Belgrano,NULL,86
Sofía,Ayuso,12,Instituto San Martín,NULL,71
Margarita,Carbonell,17,Colegio Belgrano,NULL,54
Teófila,Guerrero,12,Instituto Las Heras,NULL,56
Estrella,Morán,18,Escuela Técnica Nº5,NULL,17
Borja,Franco,17,Escuela Secundaria 12,NULL,18
María Luisa,Araujo,12,Colegio Nacional,NULL,5
Trinidad,Tormo,17,Escuela Secundaria 12,NULL,1
Tito,Leal,16,Instituto Las Heras,1132895824,43
Abilio,Gutiérrez,16,Escuela Técnica Nº5,NULL,43
Chucho,Zapata,15,Instituto San Martín,NULL,83
Paola,Manuel,16,Escuela Secundaria 12,1144447895,88
Rosaura,Leal,17,Colegio Belgrano,1139304381,84
Raúl,Badía,15,Colegio Belgrano,1142761069,77
Buenaventura,Casanova,12,Escuela Secundaria 12,NULL,98
Juan,Paz,14,Colegio Belgrano,1112579259,7
Patricio,Seguí,16,Escuela Técnica Nº5,NULL,36
Emma,Gomila,15,Colegio Belgrano,1107171688,31
Gerardo,Carlos,17,Escuela Secundaria 12,NULL,50
Marianela,Ariza,15,Instituto San Martín,1182016362,94
Martin,Villalba,12,Instituto Las Heras,NULL,47
Francisco Javier,Gárate,18,Instituto Las Heras,1189468908,40
Hector,Roman,18,Instituto Las Heras,NULL,100
Marcela,Neira,17,Escuela Técnica Nº5,1192809497,64
Mar,Olmo,14,Colegio Nacional,NULL,41
Nicodemo,Crespo,18,Colegio Belgrano,1115869184,23
Édgar,Isern,14,Colegio Nacional,NULL,52
Cipriano,Lara,15,Colegio Nacional,1154857242,81
Bernardita,Márquez,17,Escuela Técnica Nº5,NULL,49
Alex,Aguilera,17,Colegio Nacional,NULL,23
Victor,Pizarro,17,Colegio Nacional,NULL,68
Mar,Carrión,14,Escuela Técnica Nº5,NULL,4
Iris,Ferrer,16,Escuela Técnica Nº5,NULL,75
Fortunato,Calleja,16,Escuela Técnica Nº5,NULL,22
Lucila,Santana,18,Colegio Belgrano,1129352924,94
Sigfrido,Zapata,14,Instituto Las Heras,1141553455,9
María Ángeles,Romeu,18,Instituto Las Heras,1117216397,33
Abril,Nadal,13,Instituto San Martín,1100576492,67
Edgardo,Páez,14,Colegio Belgrano,NULL,80
Eloísa,Boix,12,Escuela Secundaria 12,1147384526,38
Zaira,Vila,16,Escuela Secundaria 12,NULL,10
Patricia,Salom,12,Instituto Las Heras,1180323852,96
Pepe,Olivares,16,Colegio Belgrano,NULL,74
Leyre,Delgado,17,Colegio Nacional,NULL,63
Pascuala,Yáñez,18,Instituto San Martín,NULL,27
Íngrid,Pomares,12,Colegio Nacional,NULL,96
Eladio,Cid,17,Escuela Técnica Nº5,1104780647,93
Clara,Diez,17,Escuela Técnica Nº5,NULL,53
Patricia,Higueras,15,Escuela Secundaria 12,1107429488,91
Itziar,Ojeda,16,Instituto San Martín,NULL,65
Plácido,Vega,18,Colegio Nacional,1180581736,54
Dimas,Font,18,Escuela Técnica Nº5,NULL,84
Íñigo,Roma,13,Colegio Nacional,1168951477,92
Julio,Ríos,14,Instituto Las Heras,NULL,40
Salvador,Rico,16,Escuela Secundaria 12,NULL,26
Hector,Ribes,14,Instituto San Martín,NULL,63
René,Luz,18,Escuela Secundaria 12,1116129340,6
Aura,Batlle,13,Instituto San Martín,NULL,95
Mateo,Aparicio,18,Escuela Técnica Nº5,1180296991,49
Merche,Roselló,15,Instituto San Martín,NULL,5
Ernesto,Giner,13,Escuela Secundaria 12,NULL,73
Samuel,Márquez,13,Colegio Nacional,1129833520,100
Dominga,Valencia,16,Instituto Las Heras,1100875123,71
Febe,Arnau,15,Colegio Nacional,NULL,18
Rico,Manuel,13,Colegio Nacional,NULL,51
Hector,Castillo,13,Instituto Las Heras,NULL,8
Marisol,Collado,18,Instituto Las Heras,1198953370,39
Dorotea,Bermúdez,12,Instituto Las Heras,1189654223,65
Eleuterio,Arribas,14,Instituto San Martín,1125803777,25
Diego,Moya,12,Colegio Nacional,1142137514,48
Verónica,Ortega,17,Instituto Las Heras,NULL,8
Felicia,Briones,14,Colegio Belgrano,1192540514,4
Cayetana,Barrena,14,Escuela Técnica Nº5,NULL,55
Alexandra,Castro,12,Escuela Técnica Nº5,NULL,92
Nicodemo,Avilés,13,Escuela Secundaria 12,NULL,70
Nereida,Morán,13,Instituto San Martín,NULL,17
Edelmiro,Cabello,13,Escuela Técnica Nº5,NULL,79
Aura,Royo,13,Escuela Técnica Nº5,NULL,90
Aníbal,Arenas,16,Escuela Secundaria 12,NULL,91
Casandra,Llorente,14,Escuela Secundaria 12,1130115136,48
Pacífica,Flores,18,Escuela Secundaria 12,NULL,78
Lara,Alvarez,14,Escuela Técnica Nº5,NULL,73
Nacio,Hernández,17,Escuela Técnica Nº5,NULL,69
Heriberto,Aparicio,15,Escuela Técnica Nº5,NULL,32
Rufina,Blazquez,18,Colegio Nacional,1109265322,15
Concepción,Benavente,15,Escuela Técnica Nº5,NULL,75
Venceslás,Merino,18,Instituto Las Heras,NULL,69
Ildefonso,Agudo,13,Instituto San Martín,NULL,40
Bienvenida,Aguirre,15,Colegio Nacional,1178526722,87
Melchor,Villaverde,13,Colegio Nacional,NULL,98
Guiomar,Iñiguez,14,Escuela Técnica Nº5,NULL,72
Fito,Valdés,13,Instituto Las Heras,NULL,25
Teodora,Franco,16,Colegio Nacional,1195954280,36
Seve,Cal,12,Instituto Las Heras,NULL,13
Horacio,Tormo,12,Instituto San Martín,1149138458,61
Yéssica,Martorell,12,Colegio Belgrano,1117781473,91
Encarnita,Pineda,13,Instituto San Martín,NULL,35
Juliana,Samper,13,Colegio Belgrano,1189819842,86
Angelita,Jordá,13,Escuela Técnica Nº5,1178084562,49
Anacleto,Clemente,14,Colegio Belgrano,1177668669,51
Isidoro,Durán,15,Instituto Las Heras,1162293269,66
Toribio,Aznar,12,Colegio Nacional,NULL,97
Dora,Agustí,12,Instituto San Martín,NULL,79
Raúl,Almagro,15,Instituto Las Heras,NULL,96
Hilda,Antúnez,12,Instituto San Martín,1116678005,69
María Cristina,Rius,15,Instituto Las Heras,1166552025,85
Esmeralda,Uriarte,16,Colegio Belgrano,1156256384,80
Felipe,Pinedo,16,Colegio Belgrano,1175365073,41
Trinidad,Barrios,12,Escuela Secundaria 12,1170138338,53
Adán,Murcia,18,Colegio Belgrano,NULL,9
Américo,Benito,14,Colegio Belgrano,NULL,86
Ángel,Caro,14,Escuela Técnica Nº5,NULL,74
Vicente,Marco,13,Instituto San Martín,NULL,77
Isaac,Sanchez,14,Escuela Técnica Nº5,NULL,41
